artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,key_A,key_A#,key_B,key_C#,key_D,key_D#,key_E,key_F,key_F#,key_G,key_G#,key_NA,mode_Major,mode_Minor,new_releases_2010,all_playlists,log_in_spotify_playlists,log_in_apple_playlists,log_in_deezer_playlists,log_all_playlists,log_speechiness_%,log_danceability_%
1,2023,3,24,596,68,363369738.0,8,104,23,2,29,120,63,36,73,0,0,36,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,627,6.391917113392602,2.1972245773362196,3.1780538303479458,6.4425401664681985,1.6094379124341003,4.1588830833596715
3,2023,6,22,332,26,86444842.0,11,163,10,4,0,140,65,87,74,22,0,42,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,353,5.808142489980444,2.4849066497880004,2.3978952727983707,5.869296913133774,1.6094379124341003,4.189654742026425
1,2023,7,7,516,38,52135248.0,73,119,42,1,150,123,69,82,76,6,0,6,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,631,6.248042874508429,4.30406509320417,3.7612001156935624,6.448889394146858,1.3862943611198906,4.248495242049359
1,2013,1,1,12859,110,1297026226.0,24,98,582,2,73,135,48,44,42,12,2,11,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,13465,9.46187699779161,3.2188758248682006,6.368187186350492,9.507923269105227,1.3862943611198906,3.8918202981106265
2,2023,5,31,1313,40,200647221.0,17,152,32,11,139,133,85,81,67,26,0,12,5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1362,7.1808311990445555,2.8903717578961645,3.4965075614664802,7.217443431696533,1.791759469228055,4.454347296253507
3,2023,6,2,1945,87,115364561.0,74,182,87,14,1093,99,85,83,68,7,0,36,20,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,2106,7.57353126274595,4.31748811353631,4.477336814478207,7.653020413804189,3.044522437723423,4.454347296253507
1,2023,6,22,250,26,78300654.0,16,149,10,5,168,130,79,96,86,9,0,9,9,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,276,5.5254529391317835,2.833213344056216,2.3978952727983707,5.6240175061873385,2.302585092994046,4.382026634673881
2,2022,3,25,7112,77,899183384.0,202,119,318,38,96,107,80,82,80,43,0,14,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,7632,8.869679374733515,5.313205979041787,5.765191102784844,8.94023623179847,1.6094379124341003,4.394449154672439
2,2023,6,29,859,40,61245289.0,35,109,41,14,211,122,81,74,71,14,0,56,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,935,6.756932389247553,3.58351893845611,3.7376696182833684,6.841615476477592,1.6094379124341003,4.406719247264253
1,2023,1,31,2420,19,429829812.0,52,107,15,1,325,204,52,52,68,46,0,15,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2487,7.791935956938058,3.970291913552122,2.772588722239781,7.81923445385907,1.6094379124341003,3.970291913552122
